'source'。'target'
'"Q """"",Q_d1ed3dba,阿巴瑟，尽快处理你手里的事情'。' 我有一个任务要交给你'
'"""""",narrator_c071137c,与此同时，在女王的王座上'。',,,,,'
'"Q """"",Q_d81ed24e,阿巴瑟，我很高兴见到你，上一个任务你完成了吗？,,,,,'。''
'"Q """"",Q_963b3c9e,干得不错，你果然是我手下最能干的人'。',,,,,'
'"ABside1 """"",ABside1_b746ea73,女王大人，我只对有价值的生物感兴趣'。',,,,,'
'"ABside1 """"",ABside1_258d4df0,女王大人你能说说看吗？,,,,,'。''
'"Q """"",Q_f9d7c022,所以现在，我们有一个新玩具，所以我想你应该看看她'。' 但我现在正在警告你，她可能是他正在寻找的人，所以不要对她的身体进行其他改造'
'"ABside1 """"",ABside1_31f7c510,遵命，那我这就回去'。',,,,,'
'"S """"",S_f6a08046,你为什么笑得这么开心？ 你又准备做新的全息图吗？,,,,,'。''
'"S """"",S_fa35fb17,……,,,,,'。''
'"""""",narrator_ff4b4f49,一只小狗进入了房间，这是虫族的一种低等兵，但这一只跟普通的形状大小都不同'。'很明显这是一只改良版的'
'"S """"",S_fdae1ea4,你把这个给我干嘛？？？ 而且它还跟普通的不同...... 它是袖珍版的？,,,,,'。''
'"Z """"",Z_137c0b4f,*闻了闻*,,,,,'。''
'"Z """"",Z_0ca92c52,*汪-汪-汪*,,,,,'。''
'"S """"",S_74901629,去你妈的狗老公？你为什么要把这个给我'。',,,,,'
'"""""",narrator_94b7d1fe,斯图科夫完全不理会莎拉抗议的声音，他慢慢地离开了'。',,,,,'
'"Z """"",Z_1caf8b60,*汪汪*,,,,,'。''
'"S """"",S_fa35fb17_2,……,,,,,'。''
'"Z """"",Z_b4210e8c,*奇怪的叫声*,,,,,'。''
'"S """"",S_b8449728,斯图科夫，刚才那句狗老公到底是什么意思？,,,,,'。''
'"S """"",S_fa35fb17_4,……,,,,,'。''
'"S """"",S_acbbbd4b,(或许它会对我有其他的用途......),,,,,'。''
'"""""",narrator_10f768a4,莎拉仔细观察着小狗，试图想知道这个东西，到底还有什么用'。',,,,,'
'"S """"",S_f59d0ec3,(果然是基因改良后的产物'。'),,,,,'
'"S """"",S_c86c337c,,,,,,'。''
'"S """"",S_8f678f0f,但是为什么斯图科夫把它带到我这里来？,,,,,'。''
'"S """"",S_28c34699,！！！,,,,,'。''
'"S """"",S_33f36504,(它好像有自己的思想...... 它那里好像变硬了？),,,,,'。''
'"S """"",S_05d1f1c5,(它难道对我产生刺激了吗？ 不...... 它的审美不应该是人类......),,,,,'。''
'"Z """"",Z_93567399,*汪-汪-汪*,,,,,'。''
'"S """"",S_442ba1c3,(也许塞蒙，可以给我一个很好的建议'。'),,,,,'
'"S """"",S_9a20afe5,(我......真的不知道，怎么和一起好色的狗相处！),,,,,'。''
'"S """"",S_726c1f5e,我先得仔细看看,,,,,'。''
'"S """"",S_8d1caaef,(该怎么和它交流呢？),,,,,'。''
