location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,narrator_sFnFFSZU,"Сара пыталась отдохнуть, почувствовав прекращение движения в своем животе. Тело расслабленно заныло.",,,,,,"""%%"""
,S_rrAAq9nc,"Как хорошо... Я и не замечала, что все было такое напряженное.",,,,,,"S ""%%"""
,narrator_BxhvroZi,"Девушка потянулась, стараясь размять затекшие мышцы. В животе начало зарождаться какое-то желание, которое Сара не могла определить.",,,,,,"""%%"""
,narrator_ZJkv9cS4,"Она предпочла не обращать на это никакого внимания, смакуя минуты расслабления.",,,,,,"""%%"""
,S_KGa8kvVJ,"Лиззара права, мне нужно чаще отдыхать...",,,,,,"S ""%%"""
,narrator_75iAGkBu,"Все переживания и беготня отошли на второй план. Больше никто никуда не подгонял. Сара наконец смогла забыть о ненавистной Королеве Клинков и осквернителе, погружаясь в легкую дрему.",,,,,,"""%%"""
,narrator_cah5UZev,*Урчание*,,,,,,"""%%"""
,S_qCGLPfBH,Что это?,,,,,,"S ""%%"""
,narrator_fkT4N8Cs,"Желание огромными темпами нагоняло девушку даже во сне, заставляя резко вскочить на кровати.",,,,,,"""%%"""
,S_jzpCpQG8,Такие странные ощущения... Меня как будто что-то пнуло!,,,,,,"S ""%%"""
,narrator_mpHgbDtB,"Сара с трудом понимала, что именно ее вырвало из дремы. На ощупь тело было в порядке, никаких резких болей и дискомфорта... Просто хотелось чего-то.",,,,,,"""%%"""
,S_nwG4sRiT,Малыш...,,,,,,"S ""%%"""
,narrator_SRq8crZ6,"Мысль о члене возбудила девушку. Из ее киски начала выделяться смазка, которая привлекла самца своим ароматом.",,,,,,"""%%"""
,narrator_acvk6Hfu,"[zergling_s_name!t] немедленно появился в поле зрения, яростно принюхиваясь. Глаза девушки загорелись при его виде.",,,,,,"""%%"""
,Z_TgoqTtNQ,Скр?,,,,,,"Z ""%%"""
,narrator_atkC5Mmk,"Сара приподнялась на локтях, демонстрируя свой выпирающий живот. Она чувствовала себя как никогда привлекательно и хотела в себе сперму сильного самца.",,,,,,"""%%"""
,S_hYbzcs2s,Ты всегда был такой... привлекательный?,,,,,,"S ""%%"""
,narrator_LpxH7DB6,"Девушка не видела никакого помутнения в своем рассудке, мысли были вполне здравыми, но что-то переменилось.",,,,,,"""%%"""
,S_LSr8Qtn8,Тебе же нравится мое новое тело? Этот живот сексуальный?,,,,,,"S ""%%"""
,Z_bM2H8vAD,Скр-скр-скр!,,,,,,"Z ""%%"""
,narrator_oUbFtVSy,"Зерглинг не решался запрыгнуть на кровать, но по его походке девушка заметила сильное возбуждение.",,,,,,"""%%"""
,S_mAfvrTiX,Да... Всем он нравится! Хочешь трахнуть беременную самку?,,,,,,"S ""%%"""
,narrator_qKbYFxrH,"Сара приглушенно застонала, полностью опускаясь на кровать. Ее ножки неосознанно расположились на разных частях постели, демонстрируя текущую киску.",,,,,,"""%%"""
,narrator_HHraFyLS,"Девушка сама не заметила, как возбудилась. Гормоны внезапно ударили в голову, пробуждая необузданные желания.",,,,,,"""%%"""
,Z_NWkfxT3S,Скр-скр...,,,,,,"Z ""%%"""
,narrator_JBZBpCqr,"Зерг продолжал жадно рыскать у подножья кровати, испытывая дискомфорт от вставшего члена.",,,,,,"""%%"""
,S_tc4bVMEw,Ох... Чего ты медлишь? Я так голодна... Мне нужно твое семя!,,,,,,"S ""%%"""
,Z_TTTaFCG2,Скр-скр-скр!,,,,,,"Z ""%%"""
,narrator_rGxg2N3n,"Сара опустила свою руку на промежность, раздвигая пальцами половые губы. Она сама получала от этого представления невероятное удовольствие.",,,,,,"""%%"""
,S_8tbpCQPr,Разве ты откажешь мне в услуге? Откажешься наполнить эту нуждающуюся вагину своей спермой?,,,,,,"S ""%%"""
,narrator_BG2iBYga,"Терпение зерга достигло своего лимита, подстегивая его взобраться на постель быстрым рывком. Девушка вся затрепетала от понимания, что существо не находит себе места именно из-за нее.",,,,,,"""%%"""
,Z_ZE3kRd7n,Скри...,,,,,,"Z ""%%"""
,S_XGnYroXN,"Ммм... Чувствуешь, как тут пусто без твоего члена? Это сводит меня с ума!",,,,,,"S ""%%"""
,Z_3KXR9E4m,СКР-СКР!,,,,,,"Z ""%%"""
,narrator_tBCpQGut,"Сара удивленно вскрикнула, когда лапы зерглинги опустились на ее живот. Маленькому телу было неудобно расставлять свои лапы по бокам, но в большей степени на это решение повлияла притягательная сексуальность беременного живота.",,,,,,"""%%"""
,S_55zGzxiv,Ах! Шалун! Вас всех так заводит моя беременность? Хи-хи-хи...,,,,,,"S ""%%"""
,Z_6jXmhzmL,Скриии!,,,,,,"Z ""%%"""
,narrator_dRSXH8sm,"Девушка неожиданно для себя, немного забеспокоилась за сохранность яиц, но [zergling_s_name!t] был очень деликатный. Он лишь слегка касался кожи, опираясь на задние лапы.",,,,,,"""%%"""
,S_F6KnxYJV,Оооо... да! АХ!,,,,,,"S ""%%"""
,narrator_N5xwgFfN,Зерг никак не отреагировал на замешательство девушки. Все его внимание было на сокращающейся вагине.,,,,,,"""%%"""
,narrator_NRNepAQx,"Почувствовав тепло вокруг своего члена, зерг замер на секунду.",,,,,,"""%%"""
,Z_S7nUkVcf,СКР!!!,,,,,,"Z ""%%"""
,narrator_sqUT7yzK,Маленький зерг пищал от восторга. Он уже отвык от последних шалостей без должного внимания самки.,,,,,,"""%%"""
,narrator_ZGpWT9Ha,"Инстинкты полностью взяли контроль над существом, командуя начать движение.",,,,,,"""%%"""
,S_iMKj8MJc,Ох... Ты такой нетерпеливый!,,,,,,"S ""%%"""
,narrator_EvncstJC,"Живот натянуто покачивался под давлением чужих толчков. Зерг высунул язык от удовольствия, под его лапами он чувствовал любое мелкое движение яиц.",,,,,,"""%%"""
,narrator_oFxf7Xrw,"Такое внимание и честь делало свое дело. [zergling_s_name!t] вытянул свою морду вперед, ныряя в налитые молоком сиськи.",,,,,,"""%%"""
,Z_GaKJBZss,*Лизь-лизь-лизь*,,,,,,"Z ""%%"""
,S_K7cimhSa,А... О... Черт! Что ты творишь!,,,,,,"S ""%%"""
,narrator_cuUT5gKV,"Лапы зерглинга нежно щекотали и мяли живот, пока юркий язык ласкал кожу между грудей. Сара была в восторге от того, что ее запах привлек именно этого зерга. Девушка уже успела забыть, каким услужливым он бывает для телесных утех.",,,,,,"""%%"""
,S_4nw6xsyK,ММММ... Да! Вылизывай их!,,,,,,"S ""%%"""
,S_jAnfZRUK,(Если так подумать. ему всегда нравилась моя грудь... он только и норовил прыгнуть в нее...),,,,,,"S ""%%"""
,narrator_H4gkXivb,"Зерглинг все больше утыкался мордой в грудь, разминая живот лапами. Саре было приятно от того, как перекатываются яйца под лапами. Она слегка подрагивала от щекочущих ощущений.",,,,,,"""%%"""
,S_AhXhLzfc,[zergling_s_name!t]... Какой ты молодец! Моя грудь ждала только твоего язычка!,,,,,,"S ""%%"""
,Z_WBgJXUEL,Скри!!!,,,,,,"Z ""%%"""
