location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,narrator_c5c83a98,"Вы уже видели данную сцену, хотите ли ее пропустить?",,,,,,"""%%"""
,narrator_b696e17f,"Стуков оставил Сару перед залом эволюции, пробормотав что-то о срочности других его дел.",,,,,,"""%%"""
,S_3bfc7731,(И что они придумали на этот раз...),,,,,,"S ""%%"""
,C_511137da,(Звучит не воодушевляюще.),,,,,,"C ""%%"""
,S_755ed828,(Что-то у меня нехорошее предчувствие из-за здешней атмосферы...),,,,,,"S ""%%"""
,C_11e27d34,(Обычная тут атмосфера... Или из-за разыгравшихся гормонов тебе чудится всякое?),,,,,,"C ""%%"""
,S_16a91670,(Ничего мне не чудится! Тут в воздухе чувствуется напряжение...),,,,,,"S ""%%"""
,C_268db886,(Сексуальное?),,,,,,"C ""%%"""
,S_2f28d03c,(...),,,,,,"S ""%%"""
,S_3ce8d5fa,"(Нет, психологическое.)",,,,,,"S ""%%"""
,C_a96ef434,"(Погоди, неужели тебе страшно?)",,,,,,"C ""%%"""
,S_8f22e3f0,(Страшно? Пф...),,,,,,"S ""%%"""
,S_c5937dcb,"(Просто неизвестность настораживает. Абатур никогда не рассказывает, что собирается делать.)",,,,,,"S ""%%"""
,C_afdd36f2,"(Так может, это потому что ты просто не поймешь его методов, а объяснять тебе все не имеет смысла?)",,,,,,"C ""%%"""
,C_fa8b85b5,"(Да и тебе известно, что с тобой будут делать.)",,,,,,"C ""%%"""
,S_4bff8b31,"('Что' мне известно, но вот 'как именно'... В прошлые разы он точно так же заставал меня врасплох, как сделает это сейчас.)",,,,,,"S ""%%"""
,narrator_6ecdc139,"Сара напряженно ходила по коридору, пытаясь хоть как-то убить время и свои нервные клетки.",,,,,,"""%%"""
,C_5dc6fed8,"(Ты слишком много думаешь. Это твоя основная проблема. Просто расслабься и получай удовольствие. Вдруг тебе понравится? Как и в прошлый раз, между прочим.)",,,,,,"C ""%%"""
,S_22e7ded4,"(Почему-то звучит неубедительно. Владычица говорила, что это не будет легко...)",,,,,,"S ""%%"""
,C_f8adeec7,(Тогда тебя это совершенно не смущало.),,,,,,"C ""%%"""
,S_edccaef9,"(Но она звучала ТАК убедительно! Я даже не успела задуматься о том, как именно со мной будут происходить изменения...)",,,,,,"S ""%%"""
,S_af267fff,"(Прошлые посещения Абатура хоть и не были ужасными, но простыми я их тоже назвать не могу.)",,,,,,"S ""%%"""
,C_5bb53715,"(По тебе нельзя было сказать, что ты была чем-то недовольна.)",,,,,,"C ""%%"""
,C_d64b56fd,"(Тем более посмотри на Владычицу. Она ни разу не жаловалась на то, что с ней происходило и даже, наоборот, с таким энтузиазмом рассказывала об этом, как будто хотела повторить.)",,,,,,"C ""%%"""
,S_60a66bbe,"(Ага, а так как не может повторить, нашла того, на ком можно отыграться... и вот я здесь...)",,,,,,"S ""%%"""
,C_e295b2f5,(...),,,,,,"C ""%%"""
,C_8ea2c8eb,(Снова драматизируешь!),,,,,,"C ""%%"""
,S_3dfc0659,"Хорошо, может, ты и прав. Я действительно слишком много думаю.",,,,,,"S ""%%"""
,C_ff345b6d,(Расслабься. Ты точно можешь быть уверена в одном - ты не умрешь.),,,,,,"C ""%%"""
,narrator_fb3d8fbd,"Сара медленно стала направляться в сторону зала эволюции, продолжая свой внутренний диалог.",,,,,,"""%%"""
,S_341498e7,"Знаешь, ты всегда так чудно поддерживаешь, Са'ймон.",,,,,,"S ""%%"""
,C_6dd6ea8c,{size=16}(Надеюсь...){/size},,,,,,"C ""%%"""
,S_45bfc7d4,(Сай'мон!),,,,,,"S ""%%"""
,narrator_45bfe504,"Может, Са'ймон и ответил что-то Саре, но в этот момент в зале появился Абатур, полностью поглощая внимание девушки.",,,,,,"""%%"""
,S_dbf111e8,"(Эта вибрация... он уже здесь, сейчас снова вылезет!)",,,,,,"S ""%%"""
,AB_678c6cbb,"Подопытная тут, начинаем.",,,,,,"AB ""%%"""
,narrator_bedf8382,Абатур указал на импровизированное кресло.,,,,,,"""%%"""
,S_f75f527c,Да... А ты как всегда немногословен.,,,,,,"S ""%%"""
,narrator_cff7c942,"Сара осторожно села на место, пытаясь принять наиболее свободную позу, которая была возможна в такой ситуации.",,,,,,"""%%"""
,S_16297e15,У тебя тут... уютненько.,,,,,,"S ""%%"""
,narrator_5aa6d63d,"Абатур ничего не отвечал на бесполезные для него утверждения, занимаясь известными только ему приготовлениями.",,,,,,"""%%"""
,S_c34a65d2,"Может расскажешь, что ты собираешься со мной делать?",,,,,,"S ""%%"""
,S_da7ba60b,"(Время идет, а я все так же пытаюсь узнать, что меня ждет...)",,,,,,"S ""%%"""
,AB_b1708385,Подготавливать.,,,,,,"AB ""%%"""
